Namespace(alpha=0.2, batch_size=2048, beta=0.3, dataset='AMusic', decay=0.0001, early_stop=50, emb_size=64, epochs=1000, gpu_id=1, initilizer='normal', layer=4, lr=0.001, seed=2022, self_loop=0, task='train', top_H=4, topks='[10, 20]')
EPOCH 122/1000 [0.24s], loss: 0.04211
EPOCH 123/1000 [0.23s], loss: 0.04296
EPOCH 124/1000 [0.26s], loss: 0.04202
EPOCH 125/1000 [0.25s], loss: 0.04464
EPOCH 126/1000 [0.26s], loss: 0.04098
EPOCH 127/1000 [0.25s], loss: 0.04093
EPOCH 128/1000 [0.26s], loss: 0.04018
EPOCH 129/1000 [0.26s], loss: 0.04045
EPOCH 130/1000 [0.26s], loss: 0.03797
[TEST 0.34s], {'precision': [0.04636347, 0.03455152], 'recall': [0.1972376, 0.2864795], 'ndcg': [0.13749655, 0.16523841]}
EPOCH 131/1000 [0.34s], loss: 0.04184
EPOCH 132/1000 [0.26s], loss: 0.03850
EPOCH 133/1000 [0.26s], loss: 0.03965
EPOCH 134/1000 [0.26s], loss: 0.03889
EPOCH 135/1000 [0.26s], loss: 0.03876
EPOCH 136/1000 [0.26s], loss: 0.04092
EPOCH 137/1000 [0.26s], loss: 0.03918
EPOCH 138/1000 [0.26s], loss: 0.03782
EPOCH 139/1000 [0.26s], loss: 0.03757
EPOCH 140/1000 [0.25s], loss: 0.03845
[TEST 0.34s], {'precision': [0.04690489, 0.03512904], 'recall': [0.20002869, 0.29025384], 'ndcg': [0.13963717, 0.1678133 ]}
EPOCH 141/1000 [0.3s], loss: 0.03654
EPOCH 142/1000 [0.25s], loss: 0.03719
EPOCH 143/1000 [0.26s], loss: 0.03708
EPOCH 144/1000 [0.26s], loss: 0.03752
EPOCH 145/1000 [0.25s], loss: 0.03758
EPOCH 146/1000 [0.25s], loss: 0.03433
EPOCH 147/1000 [0.25s], loss: 0.03689
EPOCH 148/1000 [0.26s], loss: 0.03672
EPOCH 149/1000 [0.25s], loss: 0.03560
EPOCH 150/1000 [0.25s], loss: 0.03661
[TEST 0.37s], {'precision': [0.04731998, 0.03545389], 'recall': [0.20066747, 0.2940168 ], 'ndcg': [0.14126516, 0.17025143]}
EPOCH 151/1000 [0.31s], loss: 0.03498
EPOCH 152/1000 [0.25s], loss: 0.03541
EPOCH 153/1000 [0.25s], loss: 0.03442
EPOCH 154/1000 [0.25s], loss: 0.03559
EPOCH 155/1000 [0.26s], loss: 0.03329
EPOCH 156/1000 [0.25s], loss: 0.03302
EPOCH 157/1000 [0.26s], loss: 0.03354
EPOCH 158/1000 [0.25s], loss: 0.03287
EPOCH 159/1000 [0.25s], loss: 0.03347
EPOCH 160/1000 [0.24s], loss: 0.03280
[TEST 0.34s], {'precision': [0.04822234, 0.03580581], 'recall': [0.2054824 , 0.29623022], 'ndcg': [0.14384028, 0.17210344]}
EPOCH 161/1000 [0.31s], loss: 0.03361
EPOCH 162/1000 [0.24s], loss: 0.03298
EPOCH 163/1000 [0.25s], loss: 0.03309
EPOCH 164/1000 [0.26s], loss: 0.03358
EPOCH 165/1000 [0.25s], loss: 0.03305
EPOCH 166/1000 [0.26s], loss: 0.03178
EPOCH 167/1000 [0.26s], loss: 0.03193
EPOCH 168/1000 [0.25s], loss: 0.03268
EPOCH 169/1000 [0.26s], loss: 0.03200
EPOCH 170/1000 [0.26s], loss: 0.03074
[TEST 0.34s], {'precision': [0.04834867, 0.03601335], 'recall': [0.20646092, 0.29755328], 'ndcg': [0.14454548, 0.17304862]}
EPOCH 171/1000 [0.32s], loss: 0.03156
EPOCH 172/1000 [0.25s], loss: 0.03035
EPOCH 173/1000 [0.25s], loss: 0.03131
EPOCH 174/1000 [0.25s], loss: 0.03119
EPOCH 175/1000 [0.26s], loss: 0.03012
EPOCH 176/1000 [0.26s], loss: 0.03033
EPOCH 177/1000 [0.26s], loss: 0.03140
EPOCH 178/1000 [0.26s], loss: 0.02978
EPOCH 179/1000 [0.25s], loss: 0.02902
EPOCH 180/1000 [0.25s], loss: 0.02998
[TEST 0.35s], {'precision': [0.0491969 , 0.03621188], 'recall': [0.21002559, 0.29876714], 'ndcg': [0.14577025, 0.17358764]}
EPOCH 181/1000 [0.34s], loss: 0.02982
EPOCH 182/1000 [0.25s], loss: 0.03069
